Index,Word,EntityType
1,Ein,KARDINALITÄT
1, ,o
1,Geschäft,ENTITÄT
1, ,o
1,hat,BEZIEHUNG
1, ,o
1,viele,KARDINALITÄT
1, ,o
1,Filialen,ENTITÄT
1,.,o
1, ,o
2,Jede,KARDINALITÄT
2, ,o
2,Filiale,ENTITÄT
2, ,o
2,d,o
2,a,o
2,r,o
2,f,o
2, ,o
2,v,o
2,o,o
2,n,o
2, ,o
2,höchstens einem,KARDINALITÄT
2, ,o
2,Filialleiter,ENTITÄT
2, ,o
2,geführt,BEZIEHUNG
2, ,o
2,w,o
2,e,o
2,r,o
2,d,o
2,e,o
2,n,o
2,.,o
2, ,o
3,Ein,KARDINALITÄT
3, ,o
3,Filialleiter,ENTITÄT
3, ,o
3,d,o
3,a,o
3,r,o
3,f,o
3, ,o
3,höchstens zwei,KARDINALITÄT
3, ,o
3,Filialen,ENTITÄT
3, ,o
3,leiten,BEZIEHUNG
3,.,o
4,O,o
4,h,o
4,n,o
4,e,o
4, ,o
4,e,o
4,i,o
4,n,o
4,e,o
4, ,o
4,Filiale,ENTITÄT
4, ,o
4,w,o
4,i,o
4,r,o
4,d,o
4, ,o
4,k,o
4,e,o
4,i,o
4,n,o
4, ,o
4,Filialleiter,ENTITÄT
4, ,o
4,b,o
4,e,o
4,s,o
4,t,o
4,i,o
4,m,o
4,m,o
4,t,o
4,.,o
4, ,o
5,D,o
5,i,o
5,e,o
5, ,o
5,Filiale,ENTITÄT
5, ,o
5,bietet,BEZIEHUNG
5, ,o
5,viele,KARDINALITÄT
5, ,o
5,Produkte,ENTITÄT
5, ,o
5,a,o
5,n,o
5,.,o
5, ,o
6,D,o
6,a,o
6,s,o
6, ,o
6,Produkt,ENTITÄT
6, ,o
6,w,o
6,i,o
6,r,o
6,d,o
6, ,o
6,v,o
6,o,o
6,n,o
6, ,o
6,vielen,KARDINALITÄT
6, ,o
6,Filialen,ENTITÄT
6, ,o
6,angeboten,BEZIEHUNG
6,.,o
6, ,o
7,D,o
7,i,o
7,e,o
7, ,o
7,Filiale,ENTITÄT
7, ,o
7,beschäftigt,BEZIEHUNG
7, ,o
7,viele,KARDINALITÄT
7, ,o
7,Mitarbeiter,ENTITÄT
7,.,o
7, ,o
8,E,o
8,i,o
8,n,o
8, ,o
8,Mitarbeiter,ENTITÄT
8, ,o
8,d,o
